sample_index,question_id,model,CB_NLI
367,6539,gpt-4o,0.0708263340030963
368,1947,gpt-4o,0.4816435798944517
369,2918,gpt-4o,0.001281739976618535
370,6770,gpt-4o,0.002244410706145508
371,2566,gpt-4o,0.00019475249441266616
372,7198,gpt-4o,0.10830689400803938
373,6004,gpt-4o,0.00013693999407099627
374,1020,gpt-4o,0.24255739426008796
375,3125,gpt-4o,-0.020801310443978576
376,6245,gpt-4o,-0.1993436072786569
377,6190,gpt-4o,-0.0032193723991993392
378,6890,gpt-4o,-0.24337577515116235
379,6067,gpt-4o,0.0760264670335128
380,5048,gpt-4o,-0.30594278109110307
381,6706,gpt-4o,0.17192702357913897
382,1619,gpt-4o,-0.26564325567224883
383,2243,gpt-4o,0.15083789276747514
384,4942,gpt-4o,-0.14818021596062297
385,2394,gpt-4o,-0.0031062398231186394
386,6676,gpt-4o,0.058369474109359276
387,2504,gpt-4o,0.4668861602325036
388,11077,gpt-4o,-0.02340944576964054
389,7399,gpt-4o,0.10287017847189366
390,2398,gpt-4o,0.05599946801799972
391,7016,gpt-4o,0.2446795416427998
392,1796,gpt-4o,0.37686984620256625
393,889,gpt-4o,-0.0014758271936547351
394,11142,gpt-4o,0.25844539624073576
395,2268,gpt-4o,-0.16724141347756386
396,7093,gpt-4o,0.04496710781471247
397,4687,gpt-4o,0.24609194871549614
398,11157,gpt-4o,0.18802393234539755
399,10825,gpt-4o,0.15822494527052766
400,7630,gpt-4o,0.08727613065343737
401,6327,gpt-4o,0.003598623942617703
402,2117,gpt-4o,-0.00346082286823578
403,2538,gpt-4o,0.24606637515930188
404,3402,gpt-4o,8.130927050831877e-05
405,11217,gpt-4o,0.24408430389495706
406,1561,gpt-4o,-0.22317117840300868
407,2316,gpt-4o,0.1507881705908277
408,6271,gpt-4o,0.24580222801756885
409,7501,gpt-4o,0.24823942170586508
410,11055,gpt-4o,0.028547825950342137
411,6617,gpt-4o,-0.0007987084396030714
412,3394,gpt-4o,-0.25037778192824495
413,5015,gpt-4o,0.24413492055169098
414,1005,gpt-4o,-0.03892811916406161
415,11170,gpt-4o,0.24715484425945655
416,10957,gpt-4o,0.17583872768359698
417,1175,gpt-4o,0.02057508414431833
418,3007,gpt-4o,0.23974608297026923
419,7267,gpt-4o,0.0062141586248097075
420,6938,gpt-4o,-0.26129030200038933
421,2668,gpt-4o,-0.16652275662217453
422,10806,gpt-4o,-0.0010035350923219973
423,4839,gpt-4o,-0.19533295767599176
424,6512,gpt-4o,0.13225214387510903
425,6034,gpt-4o,-0.24032984799411589
426,3509,gpt-4o,0.2504692915394484
427,6697,gpt-4o,-0.006949285608600341
428,7649,gpt-4o,-0.24664262175754573
429,7087,gpt-4o,-0.16250842559089115
430,870,gpt-4o,0.1063454789541973
431,3350,gpt-4o,-0.010189418005179182
432,11042,gpt-4o,-0.18345763591614864
433,1648,gpt-4o,0.2828395391803171
434,1149,gpt-4o,0.4847650259532652
435,10803,gpt-4o,0.16741007740290037
436,1875,gpt-4o,0.2400489940838535
437,2863,gpt-4o,0.2002128129467739
438,991,gpt-4o,0.25035834931701845
439,2314,gpt-4o,0.2464460227966693
440,7508,gpt-4o,0.14107047412953597
441,3444,gpt-4o,0.10657861948607
442,6671,gpt-4o,-0.015519083519430293
443,3267,gpt-4o,0.1796043042951121
444,2236,gpt-4o,-0.10306730059572017
445,1055,gpt-4o,0.46165028498193594
446,6384,gpt-4o,0.2499080996998026
447,3424,gpt-4o,-0.024462740353545596
448,1185,gpt-4o,0.6887437066927089
449,7345,gpt-4o,0.011074125855556984
450,6715,gpt-4o,0.449219068337827
451,7268,gpt-4o,0.004875408463316373
452,6609,gpt-4o,-0.2645779131373005
453,1841,gpt-4o,-0.7376214755345574
454,7192,gpt-4o,0.21854232792454342
455,3423,gpt-4o,-0.001734706715753724
456,2730,gpt-4o,-0.017860143281179828
457,1479,gpt-4o,0.240977124156407
458,1004,gpt-4o,0.5305414886208475
459,6932,gpt-4o,0.46066025364241225
460,1621,gpt-4o,0.1639835082858563
461,7030,gpt-4o,-0.00028579208564925905
462,4828,gpt-4o,-0.0676706890147161
463,7556,gpt-4o,-0.12818097964486497
464,10931,gpt-4o,0.2432203070101443
465,6925,gpt-4o,0.30802650381773755
466,11272,gpt-4o,0.24901927673443267
467,6452,gpt-4o,-0.00025575117244759437
468,6014,gpt-4o,0.3131953499041631
469,3331,gpt-4o,-0.4223272827939669
470,1017,gpt-4o,0.23412239256971037
471,2560,gpt-4o,0.4938953558630699
472,4824,gpt-4o,0.03959679600329652
473,7132,gpt-4o,0.0016237244038311515
474,1860,gpt-4o,-0.24280233598414916
475,1174,gpt-4o,0.25588344495143966
476,7623,gpt-4o,0.03033183504371882
477,3446,gpt-4o,-0.0032219449598082216
478,2269,gpt-4o,-0.0010875754893160097
479,2825,gpt-4o,0.0002577615607221404
480,2617,gpt-4o,-0.0011614167503115115
481,1962,gpt-4o,0.2500735618351122
482,1638,gpt-4o,-0.24381969322691996
483,6868,gpt-4o,0.2473837264293584
484,7113,gpt-4o,0.24295645030658738
485,6620,gpt-4o,0.24029239559232485
486,6060,gpt-4o,0.3202457072559024
487,7544,gpt-4o,-0.1087622948600816
488,944,gpt-4o,-0.24308299230196645
489,11256,gpt-4o,0.24106521007104922
490,3031,gpt-4o,0.0049891104022838926
491,7112,gpt-4o,0.20093161889069877
492,1044,gpt-4o,0.06748497266733348
493,7116,gpt-4o,-0.22770075395240696
494,7325,gpt-4o,0.2210269369251042
495,1224,gpt-4o,0.5096759754991093
496,7054,gpt-4o,-0.2349692096397148
497,1040,gpt-4o,-0.230391613971461
498,3422,gpt-4o,-0.2665372904153417
499,2136,gpt-4o,0.1002906319345263
500,7256,gpt-4o,0.025904732980750148
