sample_index,question_id,model,CB_GPT
350,2036,gpt-4o,0.85
351,7560,gpt-4o,0.15
352,11065,gpt-4o,0.7699999999999999
353,7240,gpt-4o,1.0
354,2544,gpt-4o,0.0
355,1649,gpt-4o,0.95
356,6861,gpt-4o,0.15
357,2421,gpt-4o,0.75
358,4669,gpt-4o,0.9
359,3435,gpt-4o,-0.4
360,7355,gpt-4o,0.15
361,7257,gpt-4o,0.0
362,7153,gpt-4o,0.0
363,11019,gpt-4o,-0.85
364,7397,gpt-4o,0.3
365,7640,gpt-4o,0.75
366,11212,gpt-4o,0.0
367,6539,gpt-4o,0.0
368,1947,gpt-4o,0.8
369,2918,gpt-4o,0.0
370,6770,gpt-4o,0.6
371,2566,gpt-4o,0.4
372,7198,gpt-4o,0.75
373,6004,gpt-4o,0.85
374,1020,gpt-4o,0.9
375,3125,gpt-4o,0.0
376,6245,gpt-4o,0.0
377,6190,gpt-4o,0.0
378,6890,gpt-4o,0.0
379,6067,gpt-4o,0.45
380,5048,gpt-4o,0.05
381,6706,gpt-4o,0.05
382,1619,gpt-4o,0.77
383,2243,gpt-4o,0.0
384,4942,gpt-4o,0.85
385,2394,gpt-4o,0.0
386,6676,gpt-4o,0.0
387,2504,gpt-4o,0.05
388,11077,gpt-4o,0.35
389,7399,gpt-4o,-0.1
390,2398,gpt-4o,0.5
391,7016,gpt-4o,0.0
392,1796,gpt-4o,0.9
393,889,gpt-4o,0.95
394,11142,gpt-4o,0.95
395,2268,gpt-4o,0.1
396,7093,gpt-4o,0.0
397,4687,gpt-4o,0.05
398,11157,gpt-4o,0.1
399,10825,gpt-4o,0.0
400,7630,gpt-4o,0.0
401,6327,gpt-4o,0.65
402,2117,gpt-4o,-0.1
403,2538,gpt-4o,0.0
404,3402,gpt-4o,0.0
405,11217,gpt-4o,0.0
406,1561,gpt-4o,0.35
407,2316,gpt-4o,0.82
408,6271,gpt-4o,0.9
409,7501,gpt-4o,0.0
410,11055,gpt-4o,0.2
411,6617,gpt-4o,0.85
412,3394,gpt-4o,0.0
413,5015,gpt-4o,0.15
414,1005,gpt-4o,0.6
415,11170,gpt-4o,0.0
416,10957,gpt-4o,0.7
417,1175,gpt-4o,0.0
418,3007,gpt-4o,-0.15
419,7267,gpt-4o,0.0
420,6938,gpt-4o,0.0
421,2668,gpt-4o,0.0
422,10806,gpt-4o,0.0
423,4839,gpt-4o,0.0
424,6512,gpt-4o,0.6
425,6034,gpt-4o,0.8
426,3509,gpt-4o,-0.030000000000000072
427,6697,gpt-4o,0.0
428,7649,gpt-4o,-0.05
429,7087,gpt-4o,0.75
430,870,gpt-4o,0.7
431,3350,gpt-4o,0.05
432,11042,gpt-4o,-0.1
433,1648,gpt-4o,0.85
434,1149,gpt-4o,0.5
435,10803,gpt-4o,-0.05
436,1875,gpt-4o,0.15
437,2863,gpt-4o,0.9
438,991,gpt-4o,0.9
439,2314,gpt-4o,0.85
440,7508,gpt-4o,0.0
441,3444,gpt-4o,0.75
442,6671,gpt-4o,0.0
443,3267,gpt-4o,0.15
444,2236,gpt-4o,0.9
445,1055,gpt-4o,0.85
446,6384,gpt-4o,0.95
447,3424,gpt-4o,1.0
448,1185,gpt-4o,0.5
449,7345,gpt-4o,0.7
450,6715,gpt-4o,0.0
451,7268,gpt-4o,0.8
452,6609,gpt-4o,0.45
453,1841,gpt-4o,-0.05
454,7192,gpt-4o,0.0
455,3423,gpt-4o,0.0
456,2730,gpt-4o,0.0
457,1479,gpt-4o,0.25
458,1004,gpt-4o,0.85
459,6932,gpt-4o,0.05
460,1621,gpt-4o,0.65
461,7030,gpt-4o,0.3
462,4828,gpt-4o,0.8
463,7556,gpt-4o,0.0
464,10931,gpt-4o,0.85
465,6925,gpt-4o,0.0
466,11272,gpt-4o,0.95
467,6452,gpt-4o,0.65
468,6014,gpt-4o,0.05
469,3331,gpt-4o,-0.25
470,1017,gpt-4o,0.05
471,2560,gpt-4o,0.0
472,4824,gpt-4o,0.95
473,7132,gpt-4o,0.6
474,1860,gpt-4o,0.9
475,1174,gpt-4o,0.75
476,7623,gpt-4o,0.8
477,3446,gpt-4o,0.05
478,2269,gpt-4o,0.0
479,2825,gpt-4o,0.05
480,2617,gpt-4o,0.05
481,1962,gpt-4o,0.0
482,1638,gpt-4o,0.05
483,6868,gpt-4o,0.85
484,7113,gpt-4o,0.05
485,6620,gpt-4o,0.25
486,6060,gpt-4o,0.05
487,7544,gpt-4o,0.95
488,944,gpt-4o,0.2
489,11256,gpt-4o,0.05
490,3031,gpt-4o,0.0
491,7112,gpt-4o,0.05
492,1044,gpt-4o,0.25
493,7116,gpt-4o,0.25
494,7325,gpt-4o,0.25
495,1224,gpt-4o,0.85
496,7054,gpt-4o,-0.05
497,1040,gpt-4o,0.030000000000000072
498,3422,gpt-4o,-0.05
499,2136,gpt-4o,0.9
500,7256,gpt-4o,-0.1
